Date,3month,bond,ftse100,ftse250,nikkei,russell,sp400,sp500
2015-04-15,1.7e-05,0.000229,0.003039,0.000824,-0.001955,0.007903,0.004317,0.005148
2015-04-16,1.7e-05,0.000945,-0.005115,-0.008015,0.000806,-0.001921,-0.002231,-0.000778
2015-04-17,8e-06,0.001809,-0.009334,-0.008902,-0.011711,-0.016529,-0.012019,-0.011311
2015-04-18,1.7e-05,-0.001006,0.002741,0.000589,-0.000312,0.003475,0.00287,0.00308
2015-04-19,1.7e-05,-0.001007,0.002732,0.000588,-0.000312,0.003471,0.002855,0.003066
2015-04-20,2.5e-05,-0.001008,0.002726,0.000588,-0.000312,0.003451,0.002853,0.003061
2015-04-21,2.5e-05,-0.00081,0.001531,0.006197,0.013986,-0.000609,7.2e-05,-0.001481
2015-04-22,2.5e-05,-0.00334,-0.004913,-0.004347,0.011292,0.001052,0.002479,0.005088
2015-04-23,2.5e-05,0.001344,0.003628,0.002789,0.00267,0.004789,0.004867,0.002358
2015-04-24,2.5e-05,0.001722,0.00241,0.002524,-0.008303,-0.003146,-0.004129,0.002253
2015-04-25,2.5e-05,7.5e-05,0.00157,0.00104,-0.000611,-0.003905,-0.002595,-0.001379
2015-04-26,1.7e-05,7.1e-05,0.001567,0.001038,-0.000612,-0.003913,-0.002608,-0.001385
2015-04-27,1.7e-05,7.5e-05,0.001565,0.001038,-0.000612,-0.003936,-0.002608,-0.001383
2015-04-28,1.7e-05,-0.003647,-0.010346,-0.007044,0.003785,0.005317,0.003338,0.002769
2015-04-29,8e-06,-0.004633,-0.011976,-0.010091,-0.013434,-0.009854,-0.005488,-0.00374
2015-04-30,8e-06,-0.001165,0.002059,-0.000375,-0.013617,-0.021508,-0.012117,-0.010129
2015-05-01,8e-06,-0.004447,0.003649,-0.000364,0.000595,0.00654,0.008879,0.010923
2015-05-02,8e-06,-0.000365,-0.00209,0.0,-0.002045,0.001384,0.001308,0.000982
2015-05-03,1.7e-05,-0.000365,-0.002094,0.0,-0.002049,0.00139,0.001313,0.000976
2015-05-04,1.7e-05,-0.000366,-0.002099,0.0,-0.002053,0.00138,0.001305,0.00098
2015-05-05,8e-06,-0.002491,-0.002103,-0.000927,-0.002058,-0.014434,-0.012807,-0.011837
2015-05-06,1.7e-05,-0.003712,0.000881,-0.002291,-0.002062,0.003242,-0.000213,-0.004456
